no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量淨重_克
1,毒品,1040729,新竹縣橫山鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
2,毒品,1041219,高雄市三民區,公寓(三至五層建築物),    ,    ,1,海洛因,0
3,毒品,1050122,苗栗縣大湖鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,7.1
4,毒品,1050128,台北市中山區,出租公寓（套房）,    ,    ,1,MDMA（快樂丸）,0.25
5,毒品,1050129,台北市中山區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,K(愷)他命(含液態),27.17
6,毒品,1040201,桃園市龜山區,大廈(六層以上建築物),    ,    ,1,安非他命,0
7,毒品,1050118,台北市信義區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,1.44
8,毒品,1041218,新竹縣關西鎮,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
9,毒品,1041101,新竹縣新埔鎮,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
10,毒品,1050112,台中市沙鹿區,透天厝,    ,    ,1,海洛因,3
10,毒品,1050112,台中市沙鹿區,透天厝,    ,    ,1,安非他命,1
11,毒品,1050129,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,2.91
12,毒品,1050128,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,34.04
12,毒品,1050128,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,13.08
13,毒品,1040211,基隆市暖暖區,公寓(三至五層建築物),    ,    ,1,安非他命,0
14,毒品,1041118,台南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
15,毒品,1050120,高雄市鳳山區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0.5
16,毒品,1050103,屏東縣萬丹鄉,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,1.41
16,毒品,1050103,屏東縣萬丹鄉,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,0.45
17,毒品,1040927,花蓮縣吉安鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
18,毒品,1040525,花蓮縣吉安鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
19,毒品,1041125,南投縣名間鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
20,毒品,1041209,桃園市楊梅區,出租公寓（套房）,    ,    ,1,海洛因,0
21,毒品,1050130,高雄市大社區,普通住宅(一、二層樓),    ,    ,1,安非他命,38
22,毒品,1041217,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,海洛因,0
22,毒品,1041217,南投縣南投市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
23,毒品,1041111,屏東縣屏東市,KTV,    ,    ,1,K(愷)他命(含液態),0
