no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1080325,高雄市鳳山區,指(油)壓按摩(中心),    ,    ,1,K(愷)他命(含液態),1.48
1,毒品,1080325,高雄市鳳山區,指(油)壓按摩(中心),    ,    ,1,MDMA（快樂丸）,0.69
2,毒品,1080305,高雄市鳳山區,汽車旅館,    ,    ,1,安非他命,1.51
3,毒品,1071015,新北市樹林區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),0
3,毒品,1071015,新北市樹林區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
4,毒品,1080227,彰化縣彰化市,汽車旅館,    ,    ,1,安非他命,0
4,毒品,1080227,彰化縣彰化市,汽車旅館,    ,    ,1,甲基安非他命,0
5,毒品,1080327,彰化縣彰化市,普通住宅(一、二層樓),    ,    ,1,安非他命,38.7
6,毒品,1070915,彰化縣彰化市,普通住宅(一、二層樓),    ,    ,1,安非他命,0
7,毒品,1070921,台中市北區,汽車旅館,    ,    ,2,大麻,1492.3
8,毒品,1080124,彰化縣彰化市,透天厝,    ,    ,1,安非他命,0
9,毒品,1080219,台南市東山區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
10,毒品,1080115,台中市西區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
10,毒品,1080115,台中市西區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
11,毒品,1080325,台中市中區,公路(省、縣、鄉、鎮道,    ,    ,2,大麻,0.67
12,毒品,1080206,桃園市八德區,公司(會社),    ,    ,1,安非他命,0
13,毒品,1080120,台中市中區,KTV,    ,    ,1,安非他命,0
14,毒品,1070924,台南市新營區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0
15,毒品,1071218,台南市新營區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
16,毒品,1080312,宜蘭縣礁溪鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0.43
17,毒品,1080306,宜蘭縣羅東鎮,透天厝,    ,    ,1,甲基安非他命,0.48
18,毒品,1071207,台中市西區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
19,毒品,1080323,新竹縣寶山鄉,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.29
20,毒品,1080118,彰化縣溪湖鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
21,毒品,1080321,台北市北投區,公園,    ,    ,1,安非他命,0
22,毒品,1080313,台北市大安區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0.13
23,毒品,1080313,台北市大安區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,27.7
24,毒品,1080322,雲林縣元長鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
25,毒品,1080323,台北市北投區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0
25,毒品,1080323,台北市北投區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
26,毒品,1070720,雲林縣虎尾鎮,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),1.58
27,毒品,1070315,雲林縣虎尾鎮,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
28,毒品,1080108,台南市中西區,公寓(三至五層建築物),    ,    ,1,安非他命,0
29,毒品,1080205,台南市安南區,商店行號,    ,    ,1,安非他命,0
30,毒品,1080109,新北市石碇區,公寓(三至五層建築物),    ,    ,1,安非他命,0
31,毒品,1080318,新竹縣竹北市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.5
32,毒品,1070201,新北市深坑區,公寓(三至五層建築物),    ,    ,1,安非他命,0
33,毒品,1070418,新北市深坑區,公寓(三至五層建築物),    ,    ,1,安非他命,0
34,毒品,1080202,新北市新店區,公寓(三至五層建築物),    ,    ,1,安非他命,0
34,毒品,1080202,新北市新店區,公寓(三至五層建築物),    ,    ,1,鴉片(阿片),0
35,毒品,1080120,屏東縣東港鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
35,毒品,1080120,屏東縣東港鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
36,毒品,1080128,高雄市苓雅區,碼頭港口,    ,    ,1,海洛因,1.56
37,毒品,1080323,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻,0.32
38,毒品,1080324,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,1
39,毒品,1080324,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
40,毒品,1080322,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,MDMA（快樂丸）,50.36
40,毒品,1080322,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),5.38
41,毒品,1080202,桃園市龜山區,公寓(三至五層建築物),    ,    ,1,安非他命,6.32
41,毒品,1080202,桃園市龜山區,公寓(三至五層建築物),    ,    ,1,K(愷)他命(含液態),2.24
42,毒品,1080314,台北市北投區,公寓(三至五層建築物),    ,    ,1,安非他命,31.58
43,毒品,1080314,台北市北投區,公寓(三至五層建築物),    ,    ,1,安非他命,18.69
43,毒品,1080314,台北市北投區,公寓(三至五層建築物),    ,    ,1,海洛因,3.57
44,毒品,1080314,台北市北投區,公寓(三至五層建築物),    ,    ,1,安非他命,0.05
45,毒品,1080318,台北市信義區,公寓(三至五層建築物),    ,    ,1,安非他命,22.43
45,毒品,1080318,台北市信義區,公寓(三至五層建築物),    ,    ,1,安非他命,6.45
